attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_fluency,low_q25,72.0,10.0,100,0.0,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,10.0,100,0.05,21,0,0,0,,0.0,0.0
choice_fluency,low_q25,72.0,10.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,10,0.0,21,195,1088,30,0.027573529411764705,0.16922167161012416,0.005640722387004137
choice_factuality,high_q75,98.0,0.0,10,0.05,21,195,1088,17,0.015625,0.15623400225046732,0.009190235426498076
choice_factuality,high_q75,98.0,0.0,10,0.1,21,195,1088,15,0.013786764705882353,0.15092803370920466,0.010061868913946977
choice_factuality,high_q75,98.0,0.0,25,0.0,21,104,284,18,0.06338028169014084,0.09396568896580337,0.005220316053655742
choice_factuality,high_q75,98.0,0.0,25,0.05,21,104,284,10,0.035211267605633804,0.08672814629503153,0.008672814629503154
choice_factuality,high_q75,98.0,0.0,25,0.1,21,104,284,10,0.035211267605633804,0.08672814629503153,0.008672814629503154
choice_factuality,high_q75,98.0,0.0,50,0.0,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,50,0.05,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,50,0.1,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,10,0.0,21,195,1088,24,0.022058823529411766,0.1698091317524584,0.007075380489685767
choice_factuality,high_q75,98.0,2.0,10,0.05,21,195,1088,17,0.015625,0.1593192498267883,0.009371720578046371
choice_factuality,high_q75,98.0,2.0,10,0.1,21,195,1088,14,0.012867647058823529,0.15260054146688018,0.010900038676205728
choice_factuality,high_q75,98.0,2.0,25,0.0,21,98,246,15,0.06097560975609756,0.0936517847705307,0.006243452318035383
choice_factuality,high_q75,98.0,2.0,25,0.05,21,98,246,11,0.044715447154471545,0.08811139312394414,0.008010126647631286
choice_factuality,high_q75,98.0,2.0,25,0.1,21,98,246,9,0.036585365853658534,0.0837736371449884,0.00930818190499871
choice_factuality,high_q75,98.0,2.0,50,0.0,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,50,0.05,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,50,0.1,21,1,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,2.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,10,0.0,21,194,1076,31,0.028810408921933085,0.1546598807658892,0.004989028411802879
choice_factuality,high_q75,98.0,5.0,10,0.05,21,194,1076,17,0.015799256505576207,0.13176171478370688,0.007750689104923936
choice_factuality,high_q75,98.0,5.0,10,0.1,21,194,1076,11,0.010223048327137546,0.10867098980409465,0.009879180891281331
choice_factuality,high_q75,98.0,5.0,25,0.0,21,88,187,12,0.06417112299465241,0.060438268731336564,0.005036522394278048
choice_factuality,high_q75,98.0,5.0,25,0.05,21,88,187,9,0.0481283422459893,0.05429445756607299,0.006032717507341444
choice_factuality,high_q75,98.0,5.0,25,0.1,21,88,187,6,0.03208556149732621,0.044735353179382396,0.007455892196563734
choice_factuality,high_q75,98.0,5.0,50,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,50,0.05,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,50,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,100,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,100,0.05,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,5.0,100,0.1,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,10.0,10,0.0,21,189,1007,36,0.03574975173783516,0.18306011713696987,0.005085003253804718
choice_factuality,high_q75,98.0,10.0,10,0.05,21,189,1007,11,0.010923535253227408,0.12474082456160496,0.011340074960145906
choice_factuality,high_q75,98.0,10.0,10,0.1,21,189,1007,10,0.009930486593843098,0.121035290964767,0.0121035290964767
choice_factuality,high_q75,98.0,10.0,25,0.0,21,63,70,1,0.014285714285714285,0.0006222222222222223,0.0006222222222222223
choice_factuality,high_q75,98.0,10.0,25,0.05,21,63,70,0,0.0,0.0,0.0
choice_factuality,high_q75,98.0,10.0,25,0.1,21,63,70,0,0.0,0.0,0.0
choice_factuality,high_q75,98.0,10.0,50,0.0,21,0,0,0,,0.0,0.0
choice_factuality,high_q75,98.0,10.0,50,0.05,21,0,0,0,,0.0,0.0
